Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
finasteride,FINAPEN 1 mg finasteride 1 mg film-coated tablet blister pack,AUST R: 189653,,Availability: Available,Management action: Alternative generic products are available.,Updated 31-03-2025
sodium nitroprusside,SODIUM NITROPRUSSIDE BAXTER sodium nitroprusside 50 mg/2 mL concentrated injection vial,AUST R: 391482,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 28-03-2025
metformin hydrochloride,FORMET 1000 metformin hydrochloride 1000mg tablet blister pack,AUST R: 91113,,Availability: Available,Management action: Alternative generic products are available. The sponsor is working to expedite next shipment.,Updated 28-03-2025
Pegfilgrastim,PELGRAZ pegfilgrastim 6 mg/0.6 mL solution for injection pre-filled syringe,AUST R: 308177,,Availability: Available,Management action: An alternative brand is available,Updated 26-03-2025
ezetimibe,ROSUZET Composite Pack 10mg+40mg ezetimibe 10mg tablets and rosuvastatin (as calcium) 40mg tablets composite pack,AUST R: 203687,,Availability: Available,Management action: Alternative generic product is available.,Updated 26-03-2025
isosorbide dinitrate,ISORDIL SUBLINGUAL Isosorbide dinitrate 5mg tablet bottle,AUST R: 12957,,Availability: Available,Management action: The sponsor is working to expedite the next shipment.,Updated 25-03-2025
hydrocortisone,HYDROCORTISONE VIATRIS 4 hydrocortisone 4 mg tablet bottle,AUST R: 290097,,Availability: Available,Management action: The sponsor is closely controlling the supply. An alternative product is available.,Updated 25-03-2025
spironolactone,ALDACTONE spironolactone 100mg tablet blister pack,AUST R: 68954,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 25-03-2025
galantamine hydrobromide,APO-GALANTAMINE MR galantamine (as hydrobromide) 24 mg modified release capsules blister pack,AUST R: 182034,,Availability: Available,Management action: Alternative generic products are available.,Updated 25-03-2025
mycophenolate mofetil,APO-MYCOPHENOLATE mycophenolate mofetil 250 mg capsule blister pack,AUST R: 168109,,Availability: Available,Management action: Alternative generic products are available.,Updated 25-03-2025
ketorolac trometamol,KETOROLAC-BAXTER ketorolac trometamol 30 mg/1 mL solution for injection ampoule,AUST R: 218877,,Availability: Available,Management action: Alternative generic products are available.,Updated 25-03-2025
quetiapine fumarate,APX-QUETIAPINE XR quetiapine (as fumarate) 50mg modified release tablet blister pack,AUST R: 199887,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 24-03-2025
quetiapine fumarate,APX-QUETIAPINE XR quetiapine (as fumarate) 150mg modified release tablet blister pack,AUST R: 199885,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 24-03-2025
metoclopramide hydrochloride monohydrate,METOCLOPRAMIDE HCl MEDSURGE metoclopramide hydrochloride (as monohydrate) 10 mg/2 mL injection solution ampoule,AUST R: 414532,,Availability: Available,Management action: An alternative brand is available,Updated 24-03-2025
hydrocortisone sodium succinate,SOLU-CORTEF ACT-O-VIAL hydrocortisone (as sodium succinate) 250mg powder for injection and diluent dual-chamber vial,AUST R: 167894,,Availability: Available,Management action: Other strengths are available,Updated 21-03-2025
trimethoprim,TRIMETHOPRIM VIATRIS trimethoprim 300 mg tablet blister pack,AUST R: 338350,,Availability: Available,Management action: Alternative generic products are available.,Updated 21-03-2025
risperidone,RIXADONE risperidone 0.5 mg film coated tablet blister pack,AUST R: 199179,,Availability: Available,Management action: Alternative generic products are available.,Updated 21-03-2025
naproxen,INZA 250 naproxen 250 mg tablet bottle,AUST R: 40927,,Availability: Available,Management action: An alternative brand is available.,Updated 21-03-2025
sulfamethoxazole,DBL SULFAMETHOXAZOLE 400 mg and TRIMETHOPRIM 80 mg/5 mL concentrated injection ampoule,AUST R: 16293,,Availability: Available,Management action: An alternative brand is available.,Updated 21-03-2025
prazosin hydrochloride,MINIPRESS prazosin 2 mg (as hydrochloride) tablet blister pack,AUST R: 10757,,Availability: Available,Management action: Sponsor is working to expedite the next shipment. An alternative strength is available.,Updated 20-03-2025
risperidone,RISPA risperidone 0.5 mg film-coated tablet blister pack,AUST R: 159974,,Availability: Available,Management action: Alternative generic products are available.,Updated 19-03-2025
ivabradine hydrochloride,APO-IVABRADINE ivabradine (as hydrochloride) 7.5 mg tablet blister pack,AUST R: 285493,,Availability: Available,Management action: An alternative generic product is available,Updated 14-03-2025
alprostadil,CAVERJECT IMPULSE alprostadil 10microgram powder for injection with 0.5mL diluent dual chamber cartridge in single use syringe device,AUST R: 90196,,Availability: Available,Management action: Sponsor is closely controlling the supply and is working to expedite the next shipment.,Updated 14-03-2025
furosemide,FUROSEMIDE-BAXTER furosemide (frusemide) 20 mg/2 mL solution for injection ampoule,AUST R: 148003,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 14-03-2025
montelukast sodium,APX-MONTELUKAST montelukast 4 mg (as sodium) chewable tablet blister pack,AUST R: 184831,,Availability: Available,Management action: Alternative generic products are available.,Updated 11-03-2025
quetiapine fumarate,APX-QUETIAPINE XR quetiapine (as fumarate) 400mg modified release tablet blister pack,AUST R: 199869,,Availability: Available,"Management action: Sponsor is working to expedite the next shipment.
Alternative generic products are available.",Updated 11-03-2025
fluconazole,APO-FLUCONAZOLE fluconazole 200 mg capsule blister pack,AUST R: 293315,,Availability: Available,"Management action: The sponsor is working to expedite the next shipment.
Alternative generic products are available.",Updated 11-03-2025
alendronate sodium trihydrate,APO-ALENDRONATE alendronate sodium trihydrate (equivalent to 70 mg alendronic acid) tablet blister pack,AUST R: 123863,,Availability: Available,Management action: Sponsor is working to expedite the next shipment.,Updated 11-03-2025
Follitropin alfa,BEMFOLA follitropin alfa (rch) 150 IU/0.25 mL (11 microgram) solution for injection cartridge in a pre-filled pen,AUST R: 231046,,Availability: Available,Management action: The sponsor is working to expedite the next shipment.,Updated 05-03-2025
ivermectin,SOOLANTRA ivermectin 10 mg/g cream tube,AUST R: 227125,,Availability: Available,,Updated 05-03-2025
ivabradine hydrochloride,APO-IVABRADINE ivabradine (as hydrochloride) 5 mg tablet blister pack,AUST R: 285496,,Availability: Available,Management action: An alternative generic product is available,Updated 04-03-2025
montelukast sodium,MONTELAIR 5 montelukast 5 mg (as sodium) chewable tablet blister pack,AUST R: 184825,,Availability: Available,Management action: Alternative generic products are available.,Updated 21-02-2025
letrozole,FEMOLET letrozole 2.5 mg film-coated tablet blister pack,AUST R: 166010,,Availability: Available,Management action: Alternative brands are available.,Updated 21-02-2025
sildenafil citrate,SILDATIO PHT sildenafil (as citrate) 20 mg film-coated tablets blister pack,AUST R: 188711,,Availability: Available,Management action: Alternative generic products are available.,Updated 21-02-2025
dutasteride,APO-Dutasteride dutasteride 500 microgram soft capsule blister pack,AUST R: 212047,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative brand is available.,Updated 21-02-2025
Peginterferon alfa2a,PEGASYS peginterferon alfa-2a 135 micrograms/0.5mL injection pre-filled syringe,AUST R: 91836,,Availability: Available,"Management action: The sponsor is closely controlling the supply. This medicine can be accessed through the Pegasys Home Delivery Program. For information on this program, go to https://www.echotherapeutics.com.au/echocarepegasyspatient",Updated 20-02-2025
Peginterferon alfa2a,PEGASYS peginterferon alfa-2a 180 micrograms/0.5mL injection pre-filled syringe,AUST R: 91837,,Availability: Available,"Management action: The sponsor is closely controlling the supply. This medicine can be accessed through the Pegasys Home Delivery Program. For information on this program, go to https://www.echotherapeutics.com.au/echocarepegasyspatient",Updated 20-02-2025
lacosamide,LACOSAMIDE ARX lacosamide 100 mg film-coated tablets blister pack,AUST R: 296752,,Availability: Available,Management action: Alternative generic products are available.,Updated 17-02-2025
montelukast sodium,MONTELAIR 4 montelukast 4 mg (as sodium) chewable tablet blister pack,AUST R: 184837,,Availability: Available,Management action: Alternative generic products are available.,Updated 17-02-2025
pramipexole dihydrochloride monohydrate,APO-PRAMIPEXOLE pramipexole dihydrochloride monohydrate 0.25 mg tablet blister pack,AUST R: 227667,,Availability: Available,,Updated 13-02-2025
oxytocin,OXYTOCIN GH Solution for Injection 10 IU/1 mL ampoule,AUST R: 207986,,Availability: Available,Management action: An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-sl9a-index and search for the active ingredient.,Updated 12-02-2025
pioglitazone hydrochloride,ACTOS Pioglitazone  15mg (as hydrochloride) tablet - uncoated blister pack,AUST R: 76462,,Availability: Available,Management action: Alternative generic products are available.,Updated 10-02-2025
olanzapine,APO-OLANZAPINE ODT olanzapine 20 mg orally disintegrating tablet blister pack,AUST R: 158986,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative brands are available.,Updated 07-02-2025
quetiapine fumarate,QUETIA XR quetiapine (as fumarate) 300mg modified release tablet blister pack,AUST R: 199874,,Availability: Available,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 06-02-2025
estradiol hemihydrate,ZUMENON estradiol (as hemihydrate) 2mg tablet blister pack,AUST R: 75888,,Availability: Available,Management action: Alternative generic products are available.,Updated 30-01-2025
omega3acid ethyl esters 90,OMACOR (omega-3-acid ethyl esters 90) 1000 mg soft capsule bottle,AUST R: 155717,,Availability: Available,Management action: Alternative presentations are available.,Updated 28-01-2025
hydrochlorothiazide,DILART HCT 320/25 mg valsartan 320 mg/ hydrochlorothiazide 25 mg film-coated tablet blister pack,AUST R: 187399,,Availability: Available,Management action: An alternative brand is available.,Updated 24-01-2025
hydrochlorothiazide,DILART HCT 160/12.5 mg valsartan 160 mg/ hydrochlorothiazide 12.5 mg film-coated tablet blister pack,AUST R: 187403,,Availability: Available,Management action: An alternative brand is available.,Updated 24-01-2025
monobasic potassium phosphate,DBL POTASSIUM DIHYDROGEN PHOSPHATE CONCENTRATED INJECTION potassium phosphate - monobasic 1.361g/10mL injection ampoule,AUST R: 16263,,Availability: Available,Management action: The sponsor is working to expedite next shipment.,Updated 17-01-2025
atorvastatin calcium trihydrate,LORSTAT 10 atorvastatin (as calcium trihydrate) 10 mg tablets bottle,AUST R: 334861,,Availability: Available,"Management action: An alternative brand is available, Other pack sizes are available",Updated 17-01-2025
metformin hydrochloride,FORMET 500 metformin hydrochloride 500mg tablet blister pack,AUST R: 91108,,Availability: Available,Management action: Alternative generic products are available. The sponsor is working to expedite next shipment.,Updated 14-01-2025
fentanyl,APO-FENTANYL fentanyl 75 micrograms/hour transdermal drug delivery system sachet,AUST R: 152570,,Availability: Available,Management action: Sponsor is working to expedite the next shipment.,Updated 19-12-2024
tranexamic acid,TRANEXAMIC ACID LUMACINA tranexamic acid 1000 mg/10 mL solution for injection ampoule,AUST R: 166415,,Availability: Available,Management action: Alternative brands are available.,Updated 18-12-2024
methotrexate,ARX-METHOTREXATE 2.5  methotrexate 2.5 mg tablet blister pack,AUST R: 365580,,Availability: Available,Management action: The sponsor is working to expedite the next shipment.An alternative brand is available.,Updated 17-12-2024
lacosamide,LACOSAMIDE ARX lacosamide 200 mg film-coated tablets blister pack,AUST R: 296758,,Availability: Available,Management action: Alternative generic products are available.,Updated 24-04-2024
perindopril arginine,APO-PERINDOPRIL ARGININE perindopril arginine 10 mg tablet blister pack,AUST R: 184809,,Availability: Available,,Updated 09-10-2023
risperidone,APO-RISPERIDONE risperidone 2mg tablet blister pack,AUST R: 304252,,Availability: Available,,Updated 07-04-2025
risperidone,APO-RISPERIDONE risperidone 4mg tablet blister pack,AUST R: 304254,,Availability: Available,,Updated 07-04-2025
latanoprost,APO-Latanoprost/Timolol 0.05/5 Eye drops latanoprost 50 ug/mL and timolol (as maleate) 5 mg/mL bottle,AUST R: 304898,,Availability: Available,,Updated 07-04-2025
ezetimibe,APO-EZETIMIBE  ezetimibe 10mg tablet bottle pack,AUST R: 263217,,Availability: Available,,Updated 07-04-2025
dasatinib,DASATINIB VIATRIS dasatinib 20 mg film coated tablet bottle,AUST R: 290130,,Availability: Available,,Updated 07-04-2025
risperidone,APO-RISPERIDONE risperidone 1mg tablet blister pack,AUST R: 304251,,Availability: Available,,Updated 04-04-2025
Belimumab,BENLYSTA belimumab 120 mg powder for injection vial,AUST R: 173077,,Availability: Available,,Updated 04-04-2025
glyceryl trinitrate,DBL GLYCERYL TRINITRATE CONCENTRATE INJECTION 50mg/10mL injection ampoule,AUST R: 16341,,Availability: Available,,Updated 04-04-2025
olanzapine pamoate monohydrate,ZYPREXA RELPREVV olanzapine (as pamoate monohydrate) 300mg powder for injection vial with diluent vial,AUST R: 143657,,Availability: Available,,Updated 03-04-2025
olanzapine pamoate monohydrate,ZYPREXA RELPREVV olanzapine (as pamoate monohydrate) 405mg powder for injection vial with diluent vial,AUST R: 143636,,Availability: Available,,Updated 03-04-2025
dosulepin (dothiepin) hydrochloride,DOSULEPIN VIATRIS 75 dosulepin (dothiepin) hydrochloride 75 mg film coated tablet blister pack,AUST R: 289784,,Availability: Available,,Updated 03-04-2025
acamprosate calcium,ACAMPROSATE VIATRIS acamprosate calcium 333 mg enteric coated tablet blister pack,AUST R: 298641,,Availability: Available,,Updated 03-04-2025
anastrozole,ANASTROZOLE-GH anastrozole 1 mg film-coated tablet blister pack,AUST R: 155177,,Availability: Available,,Updated 03-04-2025
amlodipine besilate,CADIVAST 10/20 amlodipine (as besilate) and atorvastatin (as calcium) 10 mg/20 mg tablets bottle,AUST R: 199223,,Availability: Available,,Updated 03-04-2025
heparin sodium,HEPARIN SODIUM 5000IU/5mL (porcine mucous) injection ampoule,AUST R: 49232,,Availability: Available,,Updated 02-04-2025
emtricitabine,TENOFOVIR / EMTRICITABINE SANDOZ 301/200 tenofovir disoproxil succinate / emtricitabine 301 mg/200 mg film-coated tablet bottle,AUST R: 326237,,Availability: Available,,Updated 02-04-2025
levetiracetam,LEVETIRACETAM VIATRIS  levetiracetam 1000 mg tablet blister pack,AUST R: 189887,,Availability: Available,,Updated 02-04-2025
fentanyl,APO-FENTANYL fentanyl 50 micrograms/hour transdermal drug delivery system sachet,AUST R: 152573,,Availability: Available,,Updated 02-04-2025
morphine hydrochloride trihydrate,MORPHINE JUNO morphine hydrochloride trihydrate 20 mg/1 mL solution for injection ampoule,AUST R: 224242,,Availability: Available,,Updated 02-04-2025
amlodipine besilate,SEVIKAR HCT 20/5/12.5 olmesartan medoxomil 20 mg amlodipine (as besilate) 5 mg and hydrochlorothiazide 12.5mg tablet blister pack,AUST R: 198998,,Availability: Available,,Updated 02-04-2025
dasatinib propylene glycol,DASATINIB DR.REDDYS dasatinib 50 mg film coated tablet blister pack,AUST R: 337451,,Availability: Available,,Updated 01-04-2025
dasatinib propylene glycol,DASATINIB DR.REDDYS dasatinib 70 mg film coated tablet blister pack,AUST R: 337456,,Availability: Available,,Updated 01-04-2025
dasatinib propylene glycol,DASATINIB DR.REDDYS dasatinib 100 mg film coated tablet blister pack,AUST R: 337460,,Availability: Available,,Updated 01-04-2025
amlodipine besilate,SEVIKAR HCT 40/5/25 olmesartan medoxomil 40 mg amlodipine (as besilate) 5 mg and hydrochlorothiazide 25 mg tablet blister pack,AUST R: 199007,,Availability: Available,,Updated 01-04-2025
duloxetine hydrochloride,DULOXETINE SANDOZ duloxetine (as hydrochloride) 60 mg enteric capsule blister pack,AUST R: 199254,,Availability: Available,,Updated 01-04-2025
fentanyl,APO-FENTANYL fentanyl 100 micrograms/hour transdermal drug delivery system sachet,AUST R: 152575,,Availability: Available,,Updated 01-04-2025
fenofibrate,FENOFIBRATE SANDOZ fenofibrate 145 mg film-coated tablet blister pack,AUST R: 280720,,Availability: Available,,Updated 01-04-2025
acarbose,GLYBOSAY acarbose 100 mg tablet blister pack,AUST R: 226791,,Availability: Available,,Updated 31-03-2025
acarbose,GLYBOSAY acarbose 50 mg tablet blister pack,AUST R: 226792,,Availability: Available,,Updated 31-03-2025
ondansetron hydrochloride dihydrate,APX-ONDANSETRON ondansetron (as hydrochloride dihydrate) 8 mg tablet blister pack,AUST R: 173182,,Availability: Available,,Updated 31-03-2025
zoledronic acid,ZOMETA zoledronic acid 4 mg/5 mL concentrated injection vial,AUST R: 90882,,Availability: Available,,Updated 26-03-2025
ezetimibe,EZALO Composite Pack 10mg+20mg ezetimibe 10mg tablets and rosuvastatin (as calcium) 20mg tablets composite pack,AUST R: 203691,,Availability: Available,,Updated 26-03-2025
emtricitabine,Tenofovir/Emtricitabine 300/200 ARX tenofovir disoproxil fumarate 300 mg emtricitabine 200 mg tablet blister pack,AUST R: 275070,,Availability: Available,,Updated 26-03-2025
melatonin,VOQUILY melatonin 1 mg/mL oral solution bottle,AUST R: 388312,,Availability: Available,,Updated 26-03-2025
tobramycin,"TOBRAMYCIN VIATRIS tobramycin 80 mg/2 mL injection, solution vial",AUST R: 234429,,Availability: Available,,Updated 25-03-2025
cisatracurium besilate,CISATRACURIUM MEDSURGE cisatracurium (as besilate) 10 mg/5 mL injection ampoule,AUST R: 401118,,Availability: Available,,Updated 25-03-2025
metoprolol succinate,ARX-METOPROLOL XL 190 metoprolol succinate 190 mg modified release tablet blister pack,AUST R: 172304,,Availability: Available,,Updated 24-03-2025
metoprolol succinate,ARX-METOPROLOL XL 95 metoprolol succinate 95 mg modified release tablet blister pack,AUST R: 172306,,Availability: Available,,Updated 24-03-2025
metoprolol succinate,ARX-METOPROLOL XL  47.5 metoprolol succinate 47.5 mg modified release tablet blister pack,AUST R: 172300,,Availability: Available,,Updated 24-03-2025
citalopram hydrobromide,APO-CITALOPRAM citalopram 40 mg (as hydrobromide) tablet blister pack,AUST R: 226579,,Availability: Available,,Updated 24-03-2025
dorzolamide hydrochloride,COSOPT dorzolamide hydrochloride 20mg and timolol maleate 5mg per mL eye drop bottle,AUST R: 66103,,Availability: Available,,Updated 21-03-2025
fluorouracil,DBL FLUOROURACIL 500mg/10mL injection BP vial,AUST R: 47260,,Availability: Available,,Updated 21-03-2025
pramipexole dihydrochloride monohydrate,SIMIPEX pramipexole dihydrochloride monohydrate 0.125 mg tablet blister pack,AUST R: 172017,,Availability: Available,,Updated 21-03-2025
quetiapine fumarate,APX-QUETIAPINE XR quetiapine (as fumarate) 300mg modified release tablet blister pack,AUST R: 199867,,Availability: Available,,Updated 21-03-2025
fentanyl,APO-FENTANYL fentanyl 25 micrograms/hour transdermal drug delivery system sachet,AUST R: 152574,,Availability: Available,,Updated 20-03-2025
amisulpride,SULPRIX amisulpride 100 mg tablets blister pack,AUST R: 156044,,Availability: Available,,Updated 20-03-2025
fluticasone propionate,PAVTIDE ACCUHALER 100/50 fluticasone propionate 100 microgram/salmeterol (as xinafoate) 50 microgram powder for inhalation blister pack,AUST R: 208200,,Availability: Available,,Updated 20-03-2025
fentanyl,FENTANYL SANDOZ fentanyl 100 micrograms/hour transdermal drug delivery system sachet,AUST R: 152576,,Availability: Available,,Updated 20-03-2025
cisplatin,CISPLATIN ACCORD cisplatin 100 mg/100 mL concentrated injection vial,AUST R: 286791,,Availability: Available,,Updated 19-03-2025
famotidine,AUSFAM 40 famotidine 40mg tablet blister pack,AUST R: 93789,,Availability: Available,,Updated 18-03-2025
cisatracurium besilate,NIMBEX cisatracurium (as besilate) 10mg/5mL injection ampoule,AUST R: 55931,,Availability: Available,,Updated 18-03-2025
amlodipine besilate,APO-OLMESARTAN/AMLODIPINE/HCTZ 40/5/12.5 olmesartan medoxomil/amlodipine/hydrochlorothiazide 40/5/12.5 mg film-coated tablet blister pack,AUST R: 312010,,Availability: Available,,Updated 18-03-2025
mycophenolate sodium,MYCOPHENOLIC ACID ARX mycophenolic acid (as sodium) 360 mg enteric coated tablet blister pack,AUST R: 338496,,Availability: Available,,Updated 18-03-2025
donepezil hydrochloride,ARIDON APN 5 donepezil hydrochloride 5mg tablet blister pack,AUST R: 167193,,Availability: Available,,Updated 17-03-2025
cabergoline,CABASER Cabergoline 2mg tablet bottle,AUST R: 57367,,Availability: Available,,Updated 17-03-2025
carboplatin,CARBOPLATIN ACCORD carboplatin 450 mg/45 mL solution for injection vial,AUST R: 215854,,Availability: Available,,Updated 17-03-2025
cisatracurium besilate,NIMBEX cisatracurium (as besilate) 150mg/30mL injection vial,AUST R: 55934,,Availability: Available,,Updated 17-03-2025
carbidopa monohydrate,KINSON levodopa 100 mg with carbidopa (as monohydrate) 25 mg tablet bottle,AUST R: 49481,,Availability: Available,,Updated 17-03-2025
olanzapine,ZYPINE ODT olanzapine 5 mg orally disintegrating tablet blister pack,AUST R: 175773,,Availability: Available,,Updated 17-03-2025
tacrolimus monohydrate,TACROLIMUS SANDOZ tacrolimus 0.75 mg capsule blister pack,AUST R: 229738,,Availability: Available,,Updated 17-03-2025
tacrolimus monohydrate,TACROGRAF tacrolimus 1 mg capsule bottle,AUST R: 167288,,Availability: Available,,Updated 17-03-2025
tadalafil,CIDALA tadalafil 10mg film-coated tablet blister pack,AUST R: 277550,,Availability: Available,,Updated 14-03-2025
metformin hydrochloride,DIABEX 850 metformin hydrochloride 850mg tablet blister pack,AUST R: 57645,,Availability: Available,,Updated 14-03-2025
fluticasone furoate,AVAMYS fluticasone furoate nasal spray bottle,AUST R: 131443,,Availability: Available,,Updated 14-03-2025
sitagliptin fumarate,SITAGLIPTIN SUN sitagliptin 25 mg (as fumarate) tablet blister pack,AUST R: 352533,,Availability: Available,,Updated 13-03-2025
fentanyl,FENTANYL SANDOZ fentanyl 50 micrograms/hour transdermal drug delivery system sachet,AUST R: 152571,,Availability: Available,,Updated 13-03-2025
citalopram hydrobromide,CELAPRAM citalopram 20mg (as hydrobromide) tablet bottle,AUST R: 82905,,Availability: Available,,Updated 13-03-2025
chloramphenicol,CHLORSIG chloramphenicol 5 mg/mL eye drop bottle,AUST R: 19661,,Availability: Available,,Updated 13-03-2025
glycopyrronium bromide,ROBINUL glycopyrronium bromide (glycopyrrolate) 0.2mg/1mL injection ampoule,AUST R: 163586,,Availability: Available,,Updated 13-03-2025
levothyroxine sodium,ELTROXIN levothyroxine sodium 200 microgram tablet bottle,AUST R: 206954,,Availability: Available,,Updated 13-03-2025
aciclovir,ACICLOVIR ACCORD aciclovir 250 mg/10 mL injection vial,AUST R: 313546,,Availability: Available,,Updated 12-03-2025
mupirocin calcium,SUPIROCIN mupirocin (as calcium) 2% w/w cream tube,AUST R: 385530,,Availability: Available,,Updated 12-03-2025
atomoxetine hydrochloride,APO-ATOMOXETINE atomoxetine (as hydrochloride) 100 mg capsule blister,AUST R: 290985,,Availability: Available,,Updated 11-03-2025
candesartan cilexetil,CANDESAN candesartan cilexetil 4 mg tablet blister pack,AUST R: 195483,,Availability: Available,,Updated 11-03-2025
aripiprazole,APO-ARIPIPRAZOLE 10 mg aripiprazole tablets blister pack,AUST R: 152908,,Availability: Available,,Updated 11-03-2025
carboplatin,DBL CARBOPLATIN 450mg/45mL injection vial,AUST R: 46846,,Availability: Available,,Updated 10-03-2025
escitalopram oxalate,ESCITALOPRAM GH escitalopram (as oxalate) 20 mg tablet blister,AUST R: 292296,,Availability: Available,,Updated 07-03-2025
Pneumococcal purified capsular polysaccharides,Prevenar 20 pneumococcal polysaccharide conjugate vaccine,AUST R: 376353,,Availability: Available,,Updated 07-03-2025
adenosine,ADENOSINE BAXTER adenosine 30 mg/10 mL solution for infusion vial,AUST R: 285931,,Availability: Available,,Updated 07-03-2025
duloxetine hydrochloride,APO-DULOXETINE duloxetine (as hydrochloride) 30 mg enteric capsule blister pack,AUST R: 217985,,Availability: Available,,Updated 06-03-2025
mesalazine,ASACOL mesalazine 1.6 g enteric coated tablet blister pack,AUST R: 322671,,Availability: Available,,Updated 06-03-2025
mesalazine,ASACOL mesalazine 800 mg enteric coated tablets blister pack,AUST R: 261420,,Availability: Available,,Updated 06-03-2025
levothyroxine sodium,APO-LEVOTHYROXINE levothyroxine sodium 50 microgram un-coated tablet blister pack,AUST R: 374892,,Availability: Available,,Updated 06-03-2025
atorvastatin calcium trihydrate,APO-ATORVASTATIN  atorvastatin (as calcium trihydrate) 80 mg tablets blister pack,AUST R: 286639,,Availability: Available,,Updated 05-03-2025
lamotrigine,APX-LAMOTRIGINE lamotrigine 100 mg dispersible/chewable tablet blister pack,AUST R: 340909,,Availability: Available,,Updated 05-03-2025
nebivolol hydrochloride,APO-NEBIVOLOL nebivolol (as hydrochloride) 5 mg tablet blister pack,AUST R: 281795,,Availability: Available,,Updated 05-03-2025
citalopram hydrobromide,TALAM citalopram (as hydrobromide) 10 mg tablet blister pack,AUST R: 234594,,Availability: Available,,Updated 04-03-2025
lamotrigine,APX-LAMOTRIGINE lamotrigine 200 mg dispersible/chewable tablet blister pack,AUST R: 340910,,Availability: Available,,Updated 04-03-2025
Influenza virus haemagglutinin,FLUAD QUAD inactivated quadrivalent influenza vaccine (surface antigen) adjuvanted suspension for injection 60 mcg HA / 0.5 mL PFS needle-free,AUST R: 313724,,Availability: Available,,Updated 04-03-2025
Influenza virus haemagglutinin,"AFLURIA QUAD - Inactivated Quadrivalent Influenza vaccine (split virion), 60 mcg HA, Suspension for injection, pre-filled syringe needle-free",AUST R: 294907,,Availability: Available,,Updated 04-03-2025
pramipexole dihydrochloride monohydrate,SIMIPEX pramipexole dihydrochloride monohydrate 1 mg tablet blister pack,AUST R: 172021,,Availability: Available,,Updated 04-03-2025
phenoxymethylpenicillin potassium,ASPECILLIN VK phenoxymethylpenicillin 250mg (as potassium) tablet bottle,AUST R: 200136,,Availability: Available,,Updated 04-03-2025
phenoxymethylpenicillin potassium,ASPECILLIN VK phenoxymethylpenicillin 500mg (as potassium) tablet bottle,AUST R: 200137,,Availability: Available,,Updated 04-03-2025
phenoxymethylpenicillin potassium,CILICAINE VK phenoxymethylpenicillin (as potassium) 250mg capsule blister pack,AUST R: 339013,,Availability: Available,,Updated 04-03-2025
phenoxymethylpenicillin potassium,CILICAINE VK phenoxymethylpenicillin (as potassium) 500mg capsule blister pack,AUST R: 339012,,Availability: Available,,Updated 04-03-2025
silver sulfadiazine,FLAMAZINE silver sulfadiazine 1.0% w/w cream jar,AUST R: 159338,,Availability: Available,,Updated 03-03-2025
silver sulfadiazine,FLAMAZINE silver sulfadiazine 1.0% w/w cream tube,AUST R: 159342,,Availability: Available,,Updated 03-03-2025
progesterone,ENDOMETRIN PESSARIES progesterone 100mg vaginal tablet  blister pack,AUST R: 189948,,Availability: Available,,Updated 03-03-2025
midazolam,MIDAZOLAM ACCORD midazolam (as hydrochloride) 5 mg/ 5 mL solution for injection ampoules,AUST R: 207239,,Availability: Available,,Updated 03-03-2025
midazolam,MIDAZOLAM VIATRIS 5 mg/5 mL midazolam solution for injection ampoule,AUST R: 160206,,Availability: Available,,Updated 28-02-2025
clobazam,PHARMACOR CLOBAZAM clobazam 10 mg tablet blister pack,AUST R: 316680,,Availability: Available,,Updated 28-02-2025
bortezomib,BORTEZOM bortezomib 3.5 mg powder for injection vial,AUST R: 214246,,Availability: Available,,Updated 28-02-2025
esomeprazole,NOXICID CAPS esomeprazole 40mg (as magnesium) enteric capsule bottle,AUST R: 246915,,Availability: Available,,Updated 27-02-2025
risperidone,RIXADONE risperidone 2 mg film coated tablet blister pack,AUST R: 199180,,Availability: Available,,Updated 27-02-2025
ramipril,TRYZAN CAPS 1.25 ramipril 1.25mg capsules blister pack,AUST R: 127085,,Availability: Available,,Updated 27-02-2025
paroxetine hydrochloride,PAXTINE paroxetine 20mg (as hydrochloride) tablet blister pack,AUST R: 227120,,Availability: Available,,Updated 27-02-2025
isotretinoin,ISOTRETINOIN Gx isotretinoin 10mg capsule blister pack,AUST R: 240732,,Availability: Available,,Updated 27-02-2025
buprenorphine,BUPRENORPHINE SANDOZ buprenorphine 30 micrograms/h transdermal drug delivery system sachet,AUST R: 319414,,Availability: Available,,Updated 26-02-2025
indometacin,INDOCID indometacin 25mg capsule blister pack,AUST R: 76021,,Availability: Available,,Updated 25-02-2025
